127.0.0.1 - - [06/Dec/2018:15:16:21 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [06/Dec/2018:15:16:23 +0530] "GET /Blog-ver1/addnewcategory.jsp HTTP/1.1" 200 6338
0:0:0:0:0:0:0:1 - - [06/Dec/2018:15:16:23 +0530] "GET /Blog-ver1/asset/vendors/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2018:15:16:23 +0530] "GET /Blog-ver1/asset/css/style3.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2018:15:16:23 +0530] "GET /Blog-ver1/asset/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2018:15:16:23 +0530] "GET /Blog-ver1/asset/vendors/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2018:15:16:23 +0530] "GET /Blog-ver1/asset/vendors/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2018:15:16:23 +0530] "GET /Blog-ver1/asset/css/myStyle.css HTTP/1.1" 200 2342
0:0:0:0:0:0:0:1 - - [06/Dec/2018:15:16:23 +0530] "GET /Blog-ver1/asset/group2/js/custom-script2.js HTTP/1.1" 200 3490
0:0:0:0:0:0:0:1 - - [06/Dec/2018:15:16:23 +0530] "GET /Blog-ver1/asset/images/yash-logo.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2018:15:16:23 +0530] "GET /Blog-ver1/asset/images/drop-down-arrow.svg HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [06/Dec/2018:15:16:23 +0530] "GET /Blog-ver1/asset/images/cancel.svg HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [06/Dec/2018:15:16:23 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [06/Dec/2018:15:16:28 +0530] "GET /Blog-ver1/addnewcategory.jsp HTTP/1.1" 200 6338
0:0:0:0:0:0:0:1 - - [06/Dec/2018:16:32:45 +0530] "GET /Blog-ver1/ListBlogController HTTP/1.1" 500 1714
0:0:0:0:0:0:0:1 - - [06/Dec/2018:16:32:51 +0530] "GET /Blog-ver1/ListCategoryController HTTP/1.1" 500 1740
0:0:0:0:0:0:0:1 - - [06/Dec/2018:16:32:54 +0530] "GET /Blog-ver1/ListBlogController HTTP/1.1" 500 1714
0:0:0:0:0:0:0:1 - - [06/Dec/2018:16:32:56 +0530] "GET /Blog-ver1/ListBlogController HTTP/1.1" 500 1714
0:0:0:0:0:0:0:1 - - [06/Dec/2018:16:33:06 +0530] "GET /Blog-ver1/addnewcategory.jsp HTTP/1.1" 200 6338
0:0:0:0:0:0:0:1 - - [06/Dec/2018:16:33:09 +0530] "GET /Blog-ver1/addnewblog.jsp HTTP/1.1" 200 5665
0:0:0:0:0:0:0:1 - - [06/Dec/2018:16:33:09 +0530] "GET /Blog-ver1/asset/js/script.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [06/Dec/2018:16:33:09 +0530] "GET /Blog-ver1/asset/css/post-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2018:16:33:09 +0530] "GET /Blog-ver1/asset/js/script.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [06/Dec/2018:16:33:10 +0530] "GET /Blog-ver1/ListBlogController HTTP/1.1" 500 1714
0:0:0:0:0:0:0:1 - - [06/Dec/2018:16:33:14 +0530] "GET /Blog-ver1/addnewblog.jsp HTTP/1.1" 200 5665
0:0:0:0:0:0:0:1 - - [06/Dec/2018:16:33:14 +0530] "GET /Blog-ver1/asset/js/script.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [06/Dec/2018:16:33:14 +0530] "GET /Blog-ver1/asset/js/script.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [06/Dec/2018:16:33:14 +0530] "GET /Blog-ver1/addnewblog.jsp HTTP/1.1" 200 5665
0:0:0:0:0:0:0:1 - - [06/Dec/2018:16:33:14 +0530] "GET /Blog-ver1/asset/js/script.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [06/Dec/2018:16:33:14 +0530] "GET /Blog-ver1/addnewblog.jsp HTTP/1.1" 200 5665
0:0:0:0:0:0:0:1 - - [06/Dec/2018:16:33:14 +0530] "GET /Blog-ver1/asset/js/script.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [06/Dec/2018:16:33:15 +0530] "GET /Blog-ver1/addnewblog.jsp HTTP/1.1" 200 5665
0:0:0:0:0:0:0:1 - - [06/Dec/2018:16:33:15 +0530] "GET /Blog-ver1/asset/js/script.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [06/Dec/2018:16:33:15 +0530] "GET /Blog-ver1/asset/js/script.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [06/Dec/2018:16:33:16 +0530] "GET /Blog-ver1/ListBlogController HTTP/1.1" 500 1714
0:0:0:0:0:0:0:1 - - [06/Dec/2018:16:37:44 +0530] "GET /Blog-ver1/addnewblog.jsp HTTP/1.1" 200 5665
0:0:0:0:0:0:0:1 - - [06/Dec/2018:16:37:44 +0530] "GET /Blog-ver1/asset/js/script.js HTTP/1.1" 404 1114
